id,type,domain,enabled,date_added,date_modified,comment
1,0,rbminer.net,1,1619371666,1619371666,"Added from Query Log"
2,0,prohashing.com,1,1619375803,1619375803,"Added from Query Log"
3,0,whattomine.com,1,1619375808,1619375808,"Added from Query Log"
